,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Abdullah Shafique,c Ngidi b Jansen,9,17,1,0,52.94
1, Vs ,,2,Imam-ul-Haq,c Klaasen b Jansen,12,18,2,0,66.66
2, Vs ,,3,Babar Azam(c),c â€ de Kock b Shamsi,50,65,4,1,76.92
3, Vs ,,4,Mohammad Rizwanâ€ ,c â€ de Kock b Coetzee,31,27,4,1,114.81
4, Vs ,,5,Iftikhar Ahmed,c Klaasen b Shamsi,21,31,1,1,67.74
5, Vs ,,6,Saud Shakeel,c â€ de Kock b Shamsi,52,52,7,0,100.00
6, Vs ,,7,Shadab Khan,c Maharaj b Coetzee,43,36,3,2,119.44
7, Vs ,,8,Mohammad Nawaz,c Miller b Jansen,24,24,1,2,100.00
8, Vs ,,9,Shaheen Shah Afridi,c Maharaj b Shamsi,2,4,0,0,50.00
9, Vs ,,10,Mohammad Wasim,c â€ de Kock b Ngidi,7,9,0,1,77.77
10, Vs ,,11,Haris Rauf,,0,1,0,0,0.00
11, Vs ,,1,Temba Bavuma(c),c Saud Shakeel b Mohammad Wasim,28,27,4,1,103.70
12, Vs ,,2,Quinton de Kockâ€ ,c Mohammad Wasim b Shaheen Shah Afridi,24,14,5,0,171.42
13, Vs ,,3,Rassie van der Dussen,lbw b Usama Mir,21,39,0,0,53.84
14, Vs ,,4,Aiden Markram,c Babar Azam b Usama Mir,91,93,7,3,97.84
15, Vs ,,5,Heinrich Klaasen,c Usama Mir b Mohammad Wasim,12,10,0,1,120.00
16, Vs ,,6,David Miller,c â€ Mohammad Rizwan b Shaheen Shah Afridi,29,33,2,2,87.87
17, Vs ,,7,Marco Jansen,c Babar Azam b Haris Rauf,20,14,2,1,142.85
18, Vs ,,8,Gerald Coetzee,c â€ Mohammad Rizwan b Shaheen Shah Afridi,10,13,0,0,76.92
19, Vs ,,9,Keshav Maharaj,,7,21,1,0,33.33
20, Vs ,,10,Lungi Ngidi,c & b Haris Rauf,4,14,0,0,28.57
21, Vs ,,11,Tabraiz Shamsi,,4,6,0,0,66.66
