,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,David Warner,c & b Phillips,81,65,5,6,124.61
1, Vs ,,2,Travis Head, b Phillips,109,67,10,7,162.68
2, Vs ,,3,Mitchell Marsh, b Santner,36,51,2,0,70.58
3, Vs ,,4,Steven Smith,c Boult b Phillips,18,17,2,0,105.88
4, Vs ,,5,Marnus Labuschagne,c Ravindra b Santner,18,26,2,0,69.23
5, Vs ,,6,Glenn Maxwell,c Boult b Neesham,41,24,5,2,170.83
6, Vs ,,7,Josh Inglisâ€ ,c Phillips b Boult,38,28,4,1,135.71
7, Vs ,,8,Pat Cummins(c),lbw b Boult,37,14,2,4,264.28
8, Vs ,,9,Mitchell Starc,c Neesham b Henry,1,3,0,0,33.33
9, Vs ,,10,Adam Zampa, b Boult,0,3,0,0,0.00
10, Vs ,,11,Josh Hazlewood,,0,0,0,0,-
11, Vs ,,1,Devon Conway,c Starc b Hazlewood,28,17,6,0,164.70
12, Vs ,,2,Will Young,c Starc b Hazlewood,32,37,4,1,86.48
13, Vs ,,3,Rachin Ravindra,c Labuschagne b Cummins,116,89,9,5,130.33
14, Vs ,,4,Daryl Mitchell,c Starc b Zampa,54,51,6,1,105.88
15, Vs ,,5,Tom Latham(c)â€ ,c Hazlewood b Zampa,21,22,2,0,95.45
16, Vs ,,6,Glenn Phillips,c Labuschagne b Maxwell,12,16,1,0,75.00
17, Vs ,,7,James Neesham,run out (Labuschagne/â€ Inglis),58,39,3,3,148.71
18, Vs ,,8,Mitchell Santner,c Maxwell b Zampa,17,12,1,1,141.66
19, Vs ,,9,Matt Henry,c Hazlewood b Cummins,9,8,1,0,112.50
20, Vs ,,10,Trent Boult,,10,8,0,1,125.00
21, Vs ,,11,Lockie Ferguson,,0,1,0,0,0.00
